epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
165,1015.37,1.61657,1.50822,0.01897,0.67021,0.42619,0.46726,0.20241,2.17941,2.08208,0.03984,0.00135056,0.00135056,0.00135056
166,1021.26,1.64318,1.48636,0.01969,0.57898,0.46036,0.46427,0.20606,2.28065,2.21359,0.04224,0.0013466,0.0013466,0.0013466
167,1027.19,1.58654,1.48568,0.01932,0.64627,0.42199,0.45806,0.20131,2.21702,2.3644,0.04114,0.00134264,0.00134264,0.00134264
168,1033.12,1.62484,1.49705,0.01935,0.60129,0.44757,0.46827,0.19441,2.20299,2.06305,0.03922,0.00133868,0.00133868,0.00133868
169,1038.95,1.58957,1.48623,0.01953,0.58366,0.45524,0.45915,0.19901,2.26747,2.11023,0.04139,0.00133472,0.00133472,0.00133472
170,1044.95,1.63672,1.53796,0.01984,0.53023,0.45269,0.45506,0.21172,2.16126,1.99954,0.03963,0.00133076,0.00133076,0.00133076
171,1050.85,1.61976,1.50158,0.01955,0.504,0.50384,0.47231,0.21686,2.25298,2.19043,0.04033,0.0013268,0.0013268,0.0013268
172,1056.84,1.62381,1.52266,0.0207,0.5416,0.42967,0.4352,0.1731,2.33542,2.1493,0.04415,0.00132284,0.00132284,0.00132284
173,1062.77,1.63051,1.47305,0.01939,0.56149,0.46036,0.4491,0.20113,2.22416,2.0738,0.04223,0.00131888,0.00131888,0.00131888
174,1068.65,1.58296,1.43954,0.01965,0.56593,0.44501,0.45267,0.20946,2.13202,2.01701,0.03872,0.00131492,0.00131492,0.00131492
175,1074.6,1.58341,1.47338,0.02031,0.57656,0.4736,0.48639,0.21148,2.21948,2.01443,0.04131,0.00131096,0.00131096,0.00131096
176,1080.5,1.62826,1.51315,0.01939,0.57481,0.42199,0.47049,0.21528,2.16364,1.86879,0.03814,0.001307,0.001307,0.001307
177,1086.59,1.63942,1.46018,0.01949,0.54981,0.50639,0.48843,0.22053,2.18323,1.89331,0.03915,0.00130304,0.00130304,0.00130304
178,1092.57,1.58203,1.41566,0.01881,0.68475,0.42776,0.48533,0.21151,2.40987,1.82759,0.04556,0.00129908,0.00129908,0.00129908
179,1098.48,1.61318,1.42359,0.01849,0.60131,0.48603,0.507,0.22422,2.16016,2.01102,0.03857,0.00129512,0.00129512,0.00129512
180,1104.44,1.63958,1.50405,0.01938,0.67503,0.45689,0.49657,0.21728,2.14942,2.06188,0.0379,0.00129116,0.00129116,0.00129116
181,1110.38,1.63391,1.45026,0.01957,0.63949,0.4578,0.48855,0.21884,2.25011,1.99931,0.04154,0.0012872,0.0012872,0.0012872
182,1116.41,1.55546,1.40894,0.0185,0.69078,0.43478,0.49235,0.22705,2.09259,2.09361,0.03683,0.00128324,0.00128324,0.00128324
183,1122.42,1.5645,1.39155,0.01834,0.62631,0.44501,0.47193,0.21161,2.24453,1.96611,0.04177,0.00127928,0.00127928,0.00127928
